Nombre,Lugar de registro,Especialidad tecnológica,Lenguaje favorito,Certificación principal,Edad,Años de experiencia,Repositorios en GitHub,Número de certificaciones técnicas,Salario actual (USD)
Connie Frost,East Katherinehaven,Data Scientist,JavaScript,Google Cloud Engineer,26,2,64,3,6432
Collin Meyer,Geraldfurt,Database Administrator,TypeScript,Google Cloud Engineer,50,25,50,5,1074
Anna Evans,Scottland,Frontend Developer,Ruby,CompTIA Security+,28,1,69,0,1377
William Schultz,West Gary,Mobile Developer,Java,Oracle Certified Professional,42,20,22,4,5056
Deborah Dillon,East Lisaton,DevOps Engineer,Java,Certified Ethical Hacker,54,18,120,7,4922
Peter Smith,Carlosborough,Frontend Developer,Kotlin,AWS Certified Solutions Architect,48,6,27,8,7094
Denise Wright,Garybury,Cloud Architect,JavaScript,Certified Ethical Hacker,46,5,69,10,3949
Emily Garcia,South Dennisborough,Frontend Developer,Ruby,PMI-ACP,34,14,93,3,6903
Cynthia Myers,Williamsfurt,Database Administrator,C#,AWS Certified Solutions Architect,46,22,48,7,2481
Kelly Case,Bakerfurt,Database Administrator,Python,Microsoft Azure Fundamentals,43,1,15,2,2415
Brian Jones,Milesborough,Database Administrator,Ruby,Certified Ethical Hacker,22,2,97,8,6306
Jonathan Crawford,Jamesmouth,Backend Developer,PHP,Certified Scrum Master,40,10,125,5,5903
Mitchell Fowler,Kimberlytown,QA Tester,Python,PMI-ACP,26,4,87,3,2129
Jennifer Woods,Mcdonaldfurt,Data Scientist,Kotlin,Certified Scrum Master,27,6,35,1,7294
Christopher Rivera,Lewisside,Frontend Developer,Python,Cisco CCNA,50,17,40,5,5832
Jason Morgan,West Kenneth,Frontend Developer,Python,Cisco CCNA,49,22,10,4,7123
Hannah Taylor,South Rebecca,Database Administrator,Python,Certified Scrum Master,49,8,47,2,7752
Gregory Nelson,East Meganview,Cybersecurity Specialist,Swift,Google Cloud Engineer,31,4,64,3,6629
Tammy Smith,West Karatown,DevOps Engineer,TypeScript,Certified Ethical Hacker,45,21,67,1,5924
Sharon Ibarra,East Jonathanmouth,Frontend Developer,TypeScript,Cisco CCNA,39,3,85,0,2081
Mercedes Cobb,Jessicahaven,Mobile Developer,TypeScript,Cisco CCNA,39,17,130,7,6068
Gabriel Williams,Smithmouth,AI/ML Engineer,JavaScript,Certified Ethical Hacker,24,1,100,3,1833
Tina Lee,North Amber,Backend Developer,Kotlin,Certified Scrum Master,34,10,31,8,6495
Robert Avila,Lake Lindsay,Cloud Architect,Swift,Certified Scrum Master,34,5,36,3,2900
Ashley Bradley,Port Valeriebury,AI/ML Engineer,Python,Certified Scrum Master,32,5,9,9,1902
Melanie Mercer,South Davidville,Cloud Architect,Java,Certified Scrum Master,30,5,108,9,2510
Laurie Blackburn,Herringfort,Frontend Developer,PHP,Oracle Certified Professional,25,4,80,0,7508
Joseph Jackson,South Richard,Database Administrator,JavaScript,AWS Certified Solutions Architect,42,22,142,6,7000
Audrey Farrell,Davisville,Frontend Developer,Ruby,Oracle Certified Professional,60,29,96,8,2007
Tonya White,North Heather,Data Scientist,Ruby,Oracle Certified Professional,42,6,67,0,4017
Sara Wright,Lake David,Cloud Architect,Java,AWS Certified Solutions Architect,43,11,21,2,7837
Christina Lawson,West Antoniobury,Data Scientist,Kotlin,Certified Scrum Master,49,24,148,3,6209
Sandra Kennedy,Kristenview,QA Tester,Java,Certified Ethical Hacker,26,0,104,2,2510
Michelle Allen,Hernandezville,Data Scientist,Kotlin,AWS Certified Solutions Architect,38,11,42,6,3752
Jordan Brown,Lake Lance,Backend Developer,JavaScript,Certified Ethical Hacker,54,12,78,10,2964
Rhonda Chavez,Bankstown,Cybersecurity Specialist,Swift,CompTIA Security+,22,1,112,10,6819
Laura Howard,Dixonfort,Mobile Developer,TypeScript,AWS Certified Solutions Architect,41,16,127,4,7601
Lisa Newman,Danmouth,Backend Developer,Go,Google Cloud Engineer,34,2,42,8,6095
Richard Miranda,Joneshaven,AI/ML Engineer,Kotlin,Oracle Certified Professional,51,31,25,8,7096
Samuel Hines,Lake Kim,AI/ML Engineer,Ruby,Cisco CCNA,57,13,11,1,1269
David Wright,West John,Mobile Developer,Java,Certified Ethical Hacker,59,24,98,6,6460
Jason Adams,West Michael,Cloud Architect,PHP,Cisco CCNA,50,12,89,2,5925
Deborah Galvan,Tracymouth,Database Administrator,TypeScript,Certified Scrum Master,27,2,80,10,2270
Shelby Odonnell,Leetown,DevOps Engineer,PHP,Google Cloud Engineer,42,19,127,1,3379
William Martinez,Port Connorshire,Cloud Architect,Go,Google Cloud Engineer,60,22,45,1,1482
Tanya Clark,Reedborough,Database Administrator,TypeScript,Google Cloud Engineer,41,20,67,10,4168
Megan Fletcher,North Ryanberg,Data Scientist,TypeScript,Cisco CCNA,33,12,74,0,6822
Robert Jones,East Troy,Cloud Architect,Python,Certified Ethical Hacker,43,6,123,1,6420
James Williams,Glennville,AI/ML Engineer,TypeScript,Certified Scrum Master,60,27,2,1,3633
Christine Kline,Sheltonland,AI/ML Engineer,Ruby,Cisco CCNA,46,22,53,6,7318
Danielle Rice,Bradleychester,Database Administrator,JavaScript,AWS Certified Solutions Architect,56,11,41,10,4564
Christopher Davis,Kellyport,Data Scientist,TypeScript,Certified Ethical Hacker,58,38,55,7,7420
Brian Lawson,Roweton,Backend Developer,Go,CompTIA Security+,35,0,93,4,4074
Tammy Michael,Evanview,QA Tester,TypeScript,PMI-ACP,52,6,109,4,3504
Amanda Lam,West Ambershire,AI/ML Engineer,Kotlin,Certified Ethical Hacker,29,1,141,8,6627
Denise Townsend,Montoyaborough,DevOps Engineer,Ruby,CompTIA Security+,22,1,28,6,2878
Joshua Little,North Edwardtown,DevOps Engineer,JavaScript,CompTIA Security+,51,27,125,7,6889
Kenneth Long,Port John,Cloud Architect,Swift,AWS Certified Developer,46,22,18,7,7569
Jessica Kent,South Stephenberg,Data Scientist,PHP,Google Cloud Engineer,42,13,106,3,3785
Kyle Moore,Mariomouth,Cybersecurity Specialist,Kotlin,Certified Scrum Master,39,6,50,0,4775
Thomas Wilson,New Rhonda,AI/ML Engineer,C#,Cisco CCNA,29,2,65,1,983
April Sanchez,Loganfurt,Backend Developer,C#,Google Cloud Engineer,59,6,142,4,4558
Mrs. Jessica Davis,Deborahmouth,Database Administrator,JavaScript,Certified Ethical Hacker,46,12,71,5,4684
Nicholas Livingston,Castilloville,AI/ML Engineer,Go,Certified Ethical Hacker,43,10,106,2,4892
Amanda Jackson,Kimberlybury,Frontend Developer,Swift,Certified Scrum Master,42,18,21,6,4928
Edward Olsen,Ortizmouth,Mobile Developer,JavaScript,Oracle Certified Professional,48,22,7,1,3806
Kim Atkins,New Bryan,DevOps Engineer,Swift,Certified Scrum Master,59,14,94,5,2160
John Turner,Morganview,Frontend Developer,Python,CompTIA Security+,56,23,133,10,6606
Jeffrey Wright,Olsonbury,Database Administrator,TypeScript,Oracle Certified Professional,36,4,34,7,3310
Kristy Nicholson,New Lindatown,Mobile Developer,Java,Microsoft Azure Fundamentals,30,9,148,8,7155
Darryl Gonzales,Port Carmen,Mobile Developer,JavaScript,Oracle Certified Professional,37,2,122,6,1059
Angelica Montgomery,Thomastown,Cloud Architect,C#,CompTIA Security+,24,4,40,7,5629
Jeremy Mendoza,Thomasberg,Data Scientist,Ruby,CompTIA Security+,26,0,148,9,898
Kimberly Stevenson,Robertsstad,DevOps Engineer,Python,AWS Certified Solutions Architect,60,3,102,7,6048
Amy Davis,Powersstad,Data Scientist,C#,Cisco CCNA,49,24,131,9,5589
Daniel Walters,West Sylvia,Data Scientist,Go,AWS Certified Developer,40,7,71,9,3597
Sean Arnold,Jenniferland,Database Administrator,Swift,Microsoft Azure Fundamentals,46,5,150,3,4469
Lori Clarke,Lake Coreyshire,Cybersecurity Specialist,Kotlin,CompTIA Security+,56,33,74,8,1170
Jim Gregory,Lake Larryville,Cloud Architect,Java,Certified Scrum Master,53,32,8,9,3087
Alexandra Brady,New Walterhaven,Mobile Developer,PHP,Certified Scrum Master,52,22,36,10,1719
Julie Lee,Jacobville,Frontend Developer,Go,Oracle Certified Professional,36,11,71,10,7665
Richard Jones,Washingtonhaven,Backend Developer,Go,Cisco CCNA,37,15,10,3,7639
Phyllis Cole,Burnsmouth,Frontend Developer,Go,Certified Scrum Master,58,38,142,5,6570
William Webb,Jordanburgh,AI/ML Engineer,Java,PMI-ACP,50,3,80,9,3525
Frank Pena,New Johnshire,Mobile Developer,C#,PMI-ACP,40,2,113,7,984
Amanda Wright,Dianafurt,Cybersecurity Specialist,Ruby,PMI-ACP,50,7,127,10,6019
Chelsea Fernandez,West James,Cybersecurity Specialist,Kotlin,Microsoft Azure Fundamentals,59,20,126,4,3475
Robert Bonilla,Hullton,Database Administrator,C#,Certified Scrum Master,27,4,30,3,3817
Vanessa Hayes,West Tracey,Mobile Developer,Java,Certified Scrum Master,50,9,129,5,5240
Mark Perez,Lisaburgh,Cloud Architect,JavaScript,Google Cloud Engineer,50,19,30,4,5493
Sharon Patterson,East Michael,Mobile Developer,Ruby,AWS Certified Solutions Architect,33,3,4,4,3169
David Wilson,West Henry,QA Tester,JavaScript,AWS Certified Developer,42,16,59,8,5484
Elaine Graves,Monicafort,Cybersecurity Specialist,Swift,AWS Certified Solutions Architect,47,24,82,6,7711
Richard Figueroa,West Megan,Mobile Developer,PHP,Oracle Certified Professional,57,19,150,0,1544
Mary Browning,Williamshaven,Database Administrator,Ruby,Certified Ethical Hacker,30,0,5,3,1340
Jessica Patel,West Jonathan,Mobile Developer,PHP,Cisco CCNA,54,32,35,6,3346
Natasha Stanley,East Tracey,Mobile Developer,TypeScript,PMI-ACP,46,8,39,8,2217
David Porter,North David,Backend Developer,Kotlin,CompTIA Security+,45,22,74,8,800
Ashley Delgado,Susanbury,Data Scientist,C#,Oracle Certified Professional,53,20,12,4,6836
Lori Johnson,South Robert,AI/ML Engineer,Kotlin,Google Cloud Engineer,44,6,81,7,2362
Kelli Richmond,Forbesburgh,QA Tester,Kotlin,AWS Certified Developer,51,4,21,2,2186
Margaret Henderson,Jeffreymouth,Cybersecurity Specialist,JavaScript,Microsoft Azure Fundamentals,53,30,46,0,6660
Susan Lewis,Whitakerborough,Frontend Developer,C#,Google Cloud Engineer,30,4,62,6,5579
Dawn Harris,Port Stephanie,AI/ML Engineer,Java,Oracle Certified Professional,37,17,103,0,4880
Kyle Williams,North Wesley,Cloud Architect,Swift,AWS Certified Developer,56,36,29,6,5028
Frank Mason,Sullivanbury,DevOps Engineer,Python,CompTIA Security+,24,1,54,4,3551
Dylan Brown,East Rachelberg,Mobile Developer,Java,AWS Certified Developer,26,2,5,8,1677
April Blankenship,Angieview,AI/ML Engineer,Swift,CompTIA Security+,55,10,82,9,7224
Kaitlyn Greene,Laneview,DevOps Engineer,Java,Certified Ethical Hacker,45,16,41,9,3894
Andrew Murray,New Michelle,Mobile Developer,PHP,Microsoft Azure Fundamentals,34,1,142,4,2486
Mallory Rubio,Englishborough,QA Tester,Swift,Google Cloud Engineer,34,1,119,9,5538
Mrs. Karen Kelly,Lake Morganhaven,Database Administrator,Python,Certified Ethical Hacker,54,31,44,0,1614
Jennifer Bullock,Lake Oliviashire,Cloud Architect,Ruby,Certified Ethical Hacker,51,4,89,7,5418
Renee Woods,Mathisshire,Data Scientist,Go,Oracle Certified Professional,60,37,62,6,6064
Jeffrey Ayers,Pattersonport,Frontend Developer,PHP,Oracle Certified Professional,53,22,93,3,3045
Benjamin Morris,Lake Marissamouth,Cybersecurity Specialist,JavaScript,CompTIA Security+,35,7,52,6,5501
Shelly Anderson,Jasonbury,Data Scientist,Java,Certified Scrum Master,34,1,46,8,2859
Paul Massey,South Josephbury,DevOps Engineer,Kotlin,Microsoft Azure Fundamentals,57,16,51,5,3823
Carlos Meyer,Wilsontown,Cybersecurity Specialist,Kotlin,Cisco CCNA,34,14,126,4,1438
Amy Kirby,Lake William,Backend Developer,Go,AWS Certified Solutions Architect,22,0,90,5,1266
Brittany Case,Cookfort,Database Administrator,Swift,Cisco CCNA,43,2,128,1,1832
Sharon Brown,West Joshuaside,Cloud Architect,Kotlin,Certified Scrum Master,48,21,99,0,3839
Jared Dunn,Richardbury,Cloud Architect,Go,Certified Scrum Master,25,5,6,5,4590
Brianna Jennings,North Brandonview,Cybersecurity Specialist,Python,Cisco CCNA,55,26,30,0,4728
Christopher Sims,Laurenmouth,Mobile Developer,Swift,Google Cloud Engineer,50,6,99,3,2504
Carl Shelton,Lake Patriciaview,Frontend Developer,Python,Cisco CCNA,58,1,33,4,6243
Andrew Boyle,Murphyport,QA Tester,Kotlin,CompTIA Security+,44,2,123,5,7367
Anna Stephens,New Brianburgh,Database Administrator,C#,AWS Certified Developer,35,3,71,4,2533
Seth Brown,East Patriciastad,DevOps Engineer,Python,Cisco CCNA,47,24,132,10,1326
Rachel Bernard,North Ashleyberg,DevOps Engineer,Ruby,Oracle Certified Professional,23,2,8,10,1793
Stephen Jackson DDS,Haydenhaven,AI/ML Engineer,PHP,Oracle Certified Professional,53,4,83,8,7260
Joseph Mathews,Stephenburgh,AI/ML Engineer,Python,CompTIA Security+,39,19,54,9,6214
Bill Rodgers,East Richard,Frontend Developer,Python,AWS Certified Developer,56,3,55,8,6507
John Evans,Christianview,Backend Developer,Python,Certified Ethical Hacker,34,3,49,10,7757
Brandi Stevens,Lake Amanda,AI/ML Engineer,Go,AWS Certified Developer,36,12,114,5,1239
Jimmy Brady,Lopezport,Mobile Developer,Python,CompTIA Security+,27,5,12,3,6100
Laura Richards,Castillostad,Mobile Developer,Ruby,Google Cloud Engineer,34,11,149,4,2223
Adam Walton,East Joann,Data Scientist,C#,Certified Scrum Master,56,3,4,9,2251
Pamela Sanchez,Karenchester,AI/ML Engineer,Java,Certified Ethical Hacker,31,4,96,10,5534
Mr. Michael Price DVM,West Nathan,Cybersecurity Specialist,TypeScript,Microsoft Azure Fundamentals,30,9,131,2,7463
Anita Owen,South Shelly,DevOps Engineer,JavaScript,Oracle Certified Professional,23,1,79,6,1189
Christopher Alvarez,South Jerry,Data Scientist,Go,Oracle Certified Professional,25,1,33,9,5909
Melanie Lynch,North Joshua,Cloud Architect,Java,Google Cloud Engineer,37,13,31,5,5042
Russell Hull,Ronnietown,AI/ML Engineer,Kotlin,Certified Scrum Master,27,7,96,9,7915
Tim Scott,Christophershire,Cloud Architect,Swift,Certified Ethical Hacker,24,0,99,5,5509
Michael Humphrey,Fisherfort,Database Administrator,TypeScript,Certified Ethical Hacker,58,2,139,6,4006
Douglas Le,Mullinston,QA Tester,Ruby,AWS Certified Developer,54,16,54,10,6447
Anthony Roberts,East James,Data Scientist,Swift,Google Cloud Engineer,49,15,129,0,6808
Benjamin Perry,Benjaminmouth,Backend Developer,JavaScript,Certified Scrum Master,53,13,93,3,5111
Corey Miller,South Christophertown,Frontend Developer,Python,Certified Ethical Hacker,58,34,74,4,4512
Alex Tucker,Gregoryland,QA Tester,Swift,Oracle Certified Professional,23,1,73,8,2728
Robert Clark,South Sabrinaview,Cybersecurity Specialist,TypeScript,Certified Ethical Hacker,51,30,20,1,3216
Mary Ortiz,Maryside,Cloud Architect,Java,Cisco CCNA,47,15,80,7,7714
Jeremy Williams,Levytown,Mobile Developer,Java,Certified Scrum Master,51,16,110,2,3343
Troy Morales,Reedfurt,Data Scientist,Ruby,Certified Ethical Hacker,38,9,127,3,1574
Marc Reed,West Kelsey,Backend Developer,Java,Oracle Certified Professional,33,7,100,6,826
Meagan Brooks,East Lauriebury,AI/ML Engineer,Kotlin,Cisco CCNA,22,0,79,2,3550
Holly Kemp,Coxton,Data Scientist,Java,Cisco CCNA,41,15,71,6,6870
Kristen West,New Jennaborough,Cybersecurity Specialist,Kotlin,Google Cloud Engineer,39,11,69,9,2448
Lindsay Schmidt,Lisaberg,Data Scientist,Python,Oracle Certified Professional,38,10,4,4,2523
Gabrielle Martin,Aguilarberg,QA Tester,Python,Oracle Certified Professional,33,1,97,4,7213
Johnny Moore,North Amandaton,Cloud Architect,TypeScript,Google Cloud Engineer,27,7,88,8,2416
Juan Howard,East Jamesmouth,Cloud Architect,Python,AWS Certified Solutions Architect,47,3,103,6,2101
Heather Hurst,Port Monica,Cloud Architect,PHP,Google Cloud Engineer,51,27,5,8,6021
Terry Murray,Cherylbury,AI/ML Engineer,Go,Microsoft Azure Fundamentals,50,13,47,2,6191
Jesse Williams,North Christine,DevOps Engineer,TypeScript,CompTIA Security+,57,34,58,6,6672
Yvonne Richards,Johnstad,Cybersecurity Specialist,TypeScript,Cisco CCNA,40,2,8,0,2624
David Harris,Meganton,DevOps Engineer,PHP,CompTIA Security+,33,12,102,8,6411
Connie Skinner DDS,South Lorraine,Database Administrator,TypeScript,AWS Certified Developer,53,30,80,4,5900
Gregory Jackson,Johnsonhaven,AI/ML Engineer,JavaScript,Certified Scrum Master,22,1,148,6,4874
Stephanie Rodriguez,Lake Jamesshire,Backend Developer,Kotlin,AWS Certified Solutions Architect,25,5,47,4,4798
Angel Cole,Scottville,Mobile Developer,Java,Cisco CCNA,34,10,149,2,1955
Kyle Montoya,North Taraborough,Mobile Developer,Kotlin,Certified Scrum Master,58,14,11,6,2163
Allen Morton,West Tiffanybury,Mobile Developer,JavaScript,CompTIA Security+,46,0,9,8,1823
Jennifer Conway,Stephanieshire,Data Scientist,Swift,Google Cloud Engineer,24,2,107,5,5652
Jackie Mason,East Amanda,Backend Developer,Java,AWS Certified Developer,60,34,105,6,2578
Patricia Ramos,South Kristiville,Data Scientist,Kotlin,Certified Scrum Master,48,3,144,3,3631
Melissa Rowe,Emilyville,AI/ML Engineer,PHP,Certified Ethical Hacker,28,5,124,1,7206
Gloria Love,North Morganborough,Frontend Developer,Ruby,Certified Scrum Master,29,0,12,10,4717
Jennifer Rodriguez,Hannahberg,AI/ML Engineer,Go,Google Cloud Engineer,36,8,10,1,4748
Jasmine Thomas,East Michael,AI/ML Engineer,PHP,Oracle Certified Professional,32,5,98,4,3864
Vanessa Scott,Lake Jessicaland,DevOps Engineer,Kotlin,AWS Certified Developer,36,7,104,0,3851
Christina Davis,South Kathleen,Cloud Architect,Python,Certified Ethical Hacker,33,7,61,6,7982
Jill Newman,New Dominiqueberg,QA Tester,Python,Google Cloud Engineer,54,18,92,9,1789
Lacey Shaw,Clarkchester,Cybersecurity Specialist,C#,Oracle Certified Professional,57,0,18,5,5483
Kathryn Allen,Huntmouth,Mobile Developer,Go,Google Cloud Engineer,40,17,104,4,7842
Arthur Richardson,Glennstad,Cybersecurity Specialist,Kotlin,CompTIA Security+,42,18,109,7,2322
Jennifer Hernandez,Scottborough,Cloud Architect,Swift,Cisco CCNA,36,7,93,7,6409
Catherine Pope,Johnsonchester,QA Tester,PHP,AWS Certified Solutions Architect,32,0,128,7,4751
Kenneth Vazquez,Port Michaelshire,Cloud Architect,JavaScript,PMI-ACP,58,35,4,10,1369
Veronica Lee,Port Maria,Frontend Developer,Swift,Cisco CCNA,45,20,144,8,5622
Matthew Walker,Jasonberg,Backend Developer,TypeScript,Microsoft Azure Fundamentals,29,4,106,6,7483
Gabriel Brown,Staffordville,Frontend Developer,Python,Google Cloud Engineer,51,31,120,7,6087
Brian Tanner,East Christopher,Backend Developer,Python,Oracle Certified Professional,40,3,17,3,3260
Vincent Garza,Rosaleschester,Mobile Developer,Java,PMI-ACP,56,0,128,5,1722
Katherine Roy,Navarroshire,AI/ML Engineer,Go,AWS Certified Developer,44,16,62,1,6008
Joseph Mccarthy,Port Robert,QA Tester,PHP,AWS Certified Solutions Architect,39,4,116,2,6578
Michael Olsen,South Charlesville,Cloud Architect,Go,Microsoft Azure Fundamentals,51,16,36,6,1801
William Lin DDS,New Tracy,DevOps Engineer,JavaScript,Certified Scrum Master,35,2,142,4,1027
Michelle Mitchell,Coxmouth,Cloud Architect,Kotlin,Cisco CCNA,54,28,119,2,6850
Luis Haynes,Port Natalie,Frontend Developer,Ruby,Microsoft Azure Fundamentals,40,14,24,9,5079
Erin Logan,North Christina,Mobile Developer,Ruby,CompTIA Security+,38,11,83,0,2873
Chelsea Nichols,Port Kristinhaven,Data Scientist,Ruby,Microsoft Azure Fundamentals,44,22,36,6,6187
Sheila Davis,Port Joshuaport,AI/ML Engineer,Python,Google Cloud Engineer,24,0,20,3,4076
Brandon Morrison,Espinozaview,Mobile Developer,Kotlin,Oracle Certified Professional,28,2,121,4,1669
Erik Stanton,North Jeremiahport,Mobile Developer,JavaScript,AWS Certified Solutions Architect,48,13,139,9,5960
Jessica Merritt,North Joyceton,Database Administrator,Java,Microsoft Azure Fundamentals,22,0,75,2,4372
Stephen Franklin,Rileymouth,DevOps Engineer,TypeScript,Certified Scrum Master,51,2,140,10,4413
Kimberly Norris,Lake Megan,Backend Developer,TypeScript,Google Cloud Engineer,47,26,150,0,3190
Samuel Holmes,Powellmouth,Database Administrator,Go,Cisco CCNA,49,24,131,4,4123
Christie Jordan,Lake Andrewfort,Backend Developer,Ruby,AWS Certified Developer,46,14,6,7,5144
Ryan Patrick,West Deborahhaven,Backend Developer,Ruby,Certified Ethical Hacker,58,1,25,1,3573
Brent Matthews,Cantrellfurt,Database Administrator,Java,AWS Certified Developer,25,2,47,3,1432
Kristy Williams,Melanieland,Mobile Developer,TypeScript,CompTIA Security+,55,28,139,10,7308
Donna Cox,Matthewside,Cybersecurity Specialist,Kotlin,Cisco CCNA,30,2,48,9,4311
Martin Watkins,New Carlashire,Cloud Architect,Swift,AWS Certified Developer,32,4,87,0,6019
Christopher Mitchell,Omarburgh,DevOps Engineer,C#,Microsoft Azure Fundamentals,42,10,85,10,5745
Julie Kelley,Caseybury,Backend Developer,JavaScript,Certified Ethical Hacker,50,0,96,9,7200
Christopher Vazquez,Scottmouth,Database Administrator,Go,CompTIA Security+,30,2,94,4,2101
Mrs. Elizabeth Stewart,East Elizabethside,Database Administrator,Kotlin,Certified Ethical Hacker,46,17,61,5,6988
Roger Williams,Jesseshire,AI/ML Engineer,TypeScript,PMI-ACP,50,14,11,8,3461
Robert Haynes,Sheltontown,Data Scientist,Swift,PMI-ACP,30,2,129,9,4523
Derek Smith,Christinemouth,Data Scientist,PHP,Certified Scrum Master,26,4,110,3,6616
Roy Baker,Whiteheadside,Frontend Developer,JavaScript,Google Cloud Engineer,30,8,94,1,1305
Cindy Wright,Moraside,Mobile Developer,Kotlin,Certified Ethical Hacker,32,11,10,0,2380
Amy Little,Franciscofurt,AI/ML Engineer,TypeScript,Certified Ethical Hacker,59,12,88,9,1668
Christopher Gomez,Lake Margarettown,Cybersecurity Specialist,C#,PMI-ACP,44,8,38,10,3189
Amber Howard,Mariaport,Backend Developer,Java,AWS Certified Developer,60,36,2,8,3322
Michelle Mccormick,Suzannemouth,Cybersecurity Specialist,TypeScript,Certified Ethical Hacker,22,0,144,7,1715
Kevin Johnson,East Christinestad,AI/ML Engineer,Java,AWS Certified Solutions Architect,58,0,117,5,2299
Elizabeth Patrick,Munozstad,Frontend Developer,PHP,Cisco CCNA,24,4,68,5,4064
Leah Kelly,Cannonside,Database Administrator,JavaScript,PMI-ACP,39,18,7,9,3440
Cody Holden,Lake Debraborough,QA Tester,PHP,CompTIA Security+,45,7,108,9,5683
Brandon Hickman,Manningbury,Mobile Developer,TypeScript,Google Cloud Engineer,37,16,14,3,4608
Elizabeth Green,New Christine,AI/ML Engineer,Kotlin,Oracle Certified Professional,46,2,46,8,7387
Nicole Dickson,West Dianaberg,Cybersecurity Specialist,JavaScript,Certified Scrum Master,25,1,9,0,7387
Rodney Sampson DVM,Nicholasport,Mobile Developer,Ruby,AWS Certified Solutions Architect,56,25,18,2,7038
Jared King,Crawfordville,Cloud Architect,JavaScript,AWS Certified Solutions Architect,32,9,127,7,5502
John Collins,Leeville,DevOps Engineer,JavaScript,Google Cloud Engineer,60,8,82,7,1565
Tyler Church,Jacobfort,DevOps Engineer,Swift,Certified Ethical Hacker,49,22,98,1,6913
Frederick Khan,New Christopher,Frontend Developer,Go,Microsoft Azure Fundamentals,30,3,138,6,5453
Vicki Roth,Hickmanside,Data Scientist,Swift,Google Cloud Engineer,36,7,82,3,7970
Melissa Wilson,North Michaelshire,Frontend Developer,TypeScript,Cisco CCNA,54,14,3,9,2875
Barry Jackson,Christophermouth,Data Scientist,TypeScript,Certified Ethical Hacker,59,3,79,5,4992
Carol Howard,Lake Brandy,Data Scientist,PHP,Certified Scrum Master,32,1,146,7,5699
Carrie Bentley,New Wendy,Cloud Architect,Go,PMI-ACP,43,20,7,4,963
Claudia Johnson,Stevenstad,Backend Developer,C#,CompTIA Security+,26,0,111,6,2000
Brian Jones,Mooreview,DevOps Engineer,Swift,Google Cloud Engineer,48,4,116,6,1017
Christopher Hernandez,South Hannahshire,Backend Developer,Ruby,Google Cloud Engineer,39,5,146,6,2510
Travis Brady,Virginiaport,Frontend Developer,JavaScript,PMI-ACP,30,10,43,3,7499
Beverly Compton,Port Melissabury,Backend Developer,Kotlin,Certified Scrum Master,44,24,112,0,7648
Jill Dunn,Riosfurt,Backend Developer,TypeScript,Microsoft Azure Fundamentals,31,9,67,4,6420
Helen Cooper,Stephaniestad,QA Tester,TypeScript,Certified Scrum Master,55,1,96,5,7373
Jacob Brown,East Johnborough,Mobile Developer,JavaScript,Microsoft Azure Fundamentals,30,3,68,4,6074
Tara Bird,North Patricia,Cloud Architect,Kotlin,Certified Ethical Hacker,50,17,110,10,6722
Craig Willis,Deborahburgh,Mobile Developer,PHP,Certified Ethical Hacker,37,12,2,9,6796
Patricia Bush,Medinaport,QA Tester,PHP,Cisco CCNA,60,38,33,8,5831
George Zimmerman,Lake Vanessa,Frontend Developer,TypeScript,AWS Certified Developer,47,13,65,7,5173
Gabriela Davis,South Robert,DevOps Engineer,Java,CompTIA Security+,34,14,92,2,5504
Ms. Rebecca Soto,North Jacobborough,DevOps Engineer,JavaScript,Certified Ethical Hacker,60,12,84,1,2840
Brittany Cohen,Port Alan,Backend Developer,Swift,Certified Scrum Master,51,22,26,10,3484
Gerald Smith,North Kathrynberg,Cybersecurity Specialist,Python,CompTIA Security+,29,9,84,9,4140
Meghan White,North John,Mobile Developer,TypeScript,PMI-ACP,40,4,140,7,1986
Lacey Armstrong,Lake Vicki,AI/ML Engineer,Kotlin,CompTIA Security+,42,21,29,0,2883
James Ramsey,Phillipsbury,Database Administrator,Kotlin,Oracle Certified Professional,45,19,115,5,2650
Robert Yates,North Matthewchester,DevOps Engineer,Python,CompTIA Security+,37,5,19,5,4029
Erica Nelson,East Michaelport,Database Administrator,Swift,Oracle Certified Professional,31,0,79,7,3510
Dana Evans,North Andrewhaven,DevOps Engineer,Java,AWS Certified Developer,33,9,90,4,1520
Courtney Burns,Edwinhaven,AI/ML Engineer,PHP,Oracle Certified Professional,27,0,23,0,6247
Tyler Powers,New Brianmouth,Backend Developer,C#,AWS Certified Developer,44,20,74,9,7947
Timothy Dunlap,Brandyfurt,AI/ML Engineer,Python,Cisco CCNA,28,0,134,1,6358
Heather Simmons,Sandersburgh,DevOps Engineer,Ruby,Microsoft Azure Fundamentals,59,21,64,4,4839
Jared Taylor,Conleystad,QA Tester,Go,Certified Scrum Master,37,3,117,8,2822
Steven Hernandez,Kathrynfort,Backend Developer,JavaScript,Oracle Certified Professional,31,7,114,5,1632
Ryan Hatfield,New Lukeport,Cybersecurity Specialist,Java,Microsoft Azure Fundamentals,44,18,120,8,4096
George White,Deannamouth,Backend Developer,Ruby,Certified Ethical Hacker,35,10,64,2,1557
Allison Mcbride,Carlhaven,Data Scientist,Python,AWS Certified Solutions Architect,52,22,41,8,4876
Evan Woods,Palmermouth,Backend Developer,Kotlin,AWS Certified Developer,29,1,93,8,7061
Christopher Lee,New Emmaport,AI/ML Engineer,TypeScript,PMI-ACP,25,4,44,3,6821
